Date,Clicks,Impressions,CTR,Position
2026-08-03,1,234,0.43%,51.8
2026-08-04,0,274,0%,58.7
2026-08-05,1,396,0.25%,57.8
2026-08-06,1,448,0.22%,53.5
2026-08-07,0,246,0%,56.9
2026-08-08,2,216,0.93%,58.8
2026-08-09,0,617,0%,59.3
